Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
εὐαγγέλιόν,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,Romans 16:25,Τῷ δὲ δυναμένῳ ὑμᾶς στηρίξαι κατὰ τὸ,"μου καὶ τὸ κήρυγμα Ἰησοῦ Χριστοῦ, κατὰ ἀποκάλυψιν μυστηρίου χρόνοις αἰωνίοις σεσιγημένου,"
εὐαγγελίου,εὐαγγέλιον,—,—,—,—,neuter,genitive,singular,1 Corinthians 4:15,ἐὰν γὰρ μυρίους παιδαγωγοὺς ἔχητε ἐν Χριστῷ ἀλλʼ οὐ πολλοὺς πατέρας· ἐν γὰρ Χριστῷ Ἰησοῦ διὰ τοῦ,ἐγὼ ὑμᾶς ἐγέννησα.
εὐαγγελίῳ,εὐαγγέλιον,—,—,—,—,neuter,dative,singular,1 Corinthians 9:12,"τῇ ἐξουσίᾳ ταύτῃ, ἀλλὰ πάντα στέγομεν, ἵνα μή τινα ἐγκοπὴν δῶμεν τῷ",τοῦ Χριστοῦ.
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,1 Corinthians 9:14,οὕτως καὶ ὁ κύριος διέταξεν τοῖς τὸ,καταγγέλλουσιν ἐκ τοῦ εὐαγγελίου ζῆν.
εὐαγγελίου,εὐαγγέλιον,—,—,—,—,neuter,genitive,singular,1 Corinthians 9:14,οὕτως καὶ ὁ κύριος διέταξεν τοῖς τὸ εὐαγγέλιον καταγγέλλουσιν ἐκ τοῦ,ζῆν.
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,1 Corinthians 9:18,τίς οὖν μού ἐστιν ὁ μισθός; ἵνα εὐαγγελιζόμενος ἀδάπανον θήσω τὸ,εἰς τὸ μὴ καταχρήσασθαι τῇ ἐξουσίᾳ μου ἐν τῷ εὐαγγελίῳ.
εὐαγγελίῳ,εὐαγγέλιον,—,—,—,—,neuter,dative,singular,1 Corinthians 9:18,θήσω τὸ εὐαγγέλιον  εἰς τὸ μὴ καταχρήσασθαι τῇ ἐξουσίᾳ μου ἐν τῷ,.
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,1 Corinthians 9:23,πάντα δὲ ποιῶ διὰ τὸ,", ἵνα συγκοινωνὸς αὐτοῦ γένωμαι.  Οὐκ"
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,1 Corinthians 15:1,"Γνωρίζω δὲ ὑμῖν, ἀδελφοί, τὸ","ὃ εὐηγγελισάμην ὑμῖν, ὃ καὶ παρελάβετε, ἐν ᾧ καὶ ἑστήκατε,"
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,2 Corinthians 2:12,Ἐλθὼν δὲ εἰς τὴν Τρῳάδα εἰς τὸ,"τοῦ Χριστοῦ καὶ θύρας μοι ἀνεῳγμένης ἐν κυρίῳ,"
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,nominative,singular,2 Corinthians 4:3,εἰ δὲ καὶ ἔστιν κεκαλυμμένον τὸ,"ἡμῶν, ἐν τοῖς ἀπολλυμένοις ἐστὶν κεκαλυμμένον,"
εὐαγγελίου,εὐαγγέλιον,—,—,—,—,neuter,genitive,singular,2 Corinthians 4:4,ἐτύφλωσεν τὰ νοήματα τῶν ἀπίστων εἰς τὸ μὴ αὐγάσαι  τὸν φωτισμὸν τοῦ,"τῆς δόξης τοῦ Χριστοῦ, ὅς ἐστιν εἰκὼν τοῦ θεοῦ."
εὐαγγελίῳ,εὐαγγέλιον,—,—,—,—,neuter,dative,singular,2 Corinthians 8:18,συνεπέμψαμεν δὲ μετʼ αὐτοῦ τὸν ἀδελφὸν οὗ ὁ ἔπαινος ἐν τῷ,"διὰ πασῶν τῶν ἐκκλησιῶν,"
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,2 Corinthians 9:13,διὰ τῆς δοκιμῆς τῆς διακονίας ταύτης δοξάζοντες τὸν θεὸν ἐπὶ τῇ ὑποταγῇ τῆς ὁμολογίας ὑμῶν εἰς τὸ,"τοῦ Χριστοῦ καὶ ἁπλότητι τῆς κοινωνίας εἰς αὐτοὺς καὶ εἰς πάντας,"
εὐαγγελίῳ,εὐαγγέλιον,—,—,—,—,neuter,dative,singular,2 Corinthians 10:14,"οὐ γὰρ ὡς μὴ ἐφικνούμενοι εἰς ὑμᾶς ὑπερεκτείνομεν ἑαυτούς, ἄχρι γὰρ καὶ ὑμῶν ἐφθάσαμεν ἐν τῷ","τοῦ Χριστοῦ,"
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,2 Corinthians 11:4,"κηρύσσει ὃν οὐκ ἐκηρύξαμεν, ἢ πνεῦμα ἕτερον λαμβάνετε ὃ οὐκ ἐλάβετε, ἢ","ἕτερον ὃ οὐκ ἐδέξασθε, καλῶς ἀνέχεσθε."
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,2 Corinthians 11:7,"Ἢ ἁμαρτίαν ἐποίησα ἐμαυτὸν ταπεινῶν ἵνα ὑμεῖς ὑψωθῆτε, ὅτι δωρεὰν τὸ τοῦ θεοῦ",εὐηγγελισάμην ὑμῖν;
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,Galatians 1:6,Θαυμάζω ὅτι οὕτως ταχέως μετατίθεσθε ἀπὸ τοῦ καλέσαντος ὑμᾶς ἐν χάριτι [Χριστοῦ] εἰς ἕτερον,","
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,Galatians 1:7,"ὃ οὐκ ἔστιν ἄλλο, εἰ μή τινές εἰσιν οἱ ταράσσοντες ὑμᾶς καὶ θέλοντες μεταστρέψαι τὸ",τοῦ Χριστοῦ.
