Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἐπορεύθη,πορεύομαι,aorist,passive,indicative,third person,singular,Matthew 12:1,Ἐν ἐκείνῳ τῷ καιρῷ,ὁ Ἰησοῦς  τοῖς σάββασιν διὰ τῶν σπορίμων· οἱ δὲ μαθηταὶ αὐτοῦ ἐπείνασαν καὶ
ἐπορεύθη,πορεύομαι,aorist,passive,indicative,third person,singular,Matthew 19:15,καὶ ἐπιθεὶς τὰς χεῖρας αὐτοῖς,ἐκεῖθεν.
ἐπορεύθη,πορεύομαι,aorist,passive,indicative,third person,singular,Luke 1:39,Ἀναστᾶσα δὲ Μαριὰμ ἐν ταῖς ἡμέραις ταύταις,"εἰς τὴν ὀρεινὴν μετὰ σπουδῆς εἰς πόλιν Ἰούδα,"
ἐπορεύθη,πορεύομαι,aorist,passive,indicative,third person,singular,Luke 4:42,Γενομένης δὲ ἡμέρας ἐξελθὼν,εἰς ἔρημον τόπον· καὶ οἱ ὄχλοι ἐπεζήτουν αὐτὸν καὶ ἦλθον ἕως αὐτοῦ καὶ
ἐπορεύθη,πορεύομαι,aorist,passive,indicative,third person,singular,Luke 7:11,Καὶ ἐγένετο ἐν τῷ ἑξῆς,εἰς πόλιν καλουμένην Ναῒν καὶ συνεπορεύοντο αὐτῷ οἱ μαθηταὶ αὐτοῦ  καὶ ὄχλος πολύς.
ἐπορεύθη,πορεύομαι,aorist,passive,indicative,third person,singular,Luke 19:12,εἶπεν οὖν· ἄνθρωπός τις εὐγενὴς,εἰς χώραν μακρὰν λαβεῖν ἑαυτῷ βασιλείαν καὶ ὑποστρέψαι.
ἐπορεύθη,πορεύομαι,aorist,passive,indicative,third person,singular,Luke 22:39,Καὶ ἐξελθὼν,"κατὰ τὸ ἔθος εἰς τὸ ὄρος τῶν ἐλαιῶν, ἠκολούθησαν δὲ αὐτῷ καὶ οἱ μαθηταί."
ἐπορεύθη,πορεύομαι,aorist,passive,indicative,third person,singular,John 8:1,Ἰησοῦς δὲ,εἰς τὸ ὄρος τῶν ἐλαιῶν.
ἐπορεύθη,πορεύομαι,aorist,passive,indicative,third person,singular,Acts 8:27,καὶ ἀναστὰς,". καὶ ἰδοὺ ἀνὴρ Αἰθίοψ εὐνοῦχος δυνάστης Κανδάκης βασιλίσσης Αἰθιόπων, ὃς ἦν ἐπὶ πάσης"
ἐπορεύθη,πορεύομαι,aorist,passive,indicative,third person,singular,Acts 12:17,τῆς φυλακῆς εἶπέν τε· ἀπαγγείλατε Ἰακώβῳ καὶ τοῖς ἀδελφοῖς ταῦτα. καὶ ἐξελθὼν,εἰς ἕτερον τόπον.
ἐπορεύθη,πορεύομαι,aorist,passive,indicative,third person,singular,2 Timothy 4:10,Δημᾶς γάρ με ἐγκατέλιπεν ἀγαπήσας τὸν νῦν αἰῶνα καὶ,"εἰς Θεσσαλονίκην, Κρήσκης εἰς Γαλατίαν, Τίτος εἰς Δαλματίαν·"
ἐπορεύετο,πορεύομαι,imperfect,either middle or passive,indicative,third person,singular,Matthew 24:1,Καὶ ἐξελθὼν ὁ Ἰησοῦς ἀπὸ τοῦ ἱεροῦ,", καὶ προσῆλθον οἱ μαθηταὶ αὐτοῦ ἐπιδεῖξαι αὐτῷ τὰς οἰκοδομὰς τοῦ ἱεροῦ."
ἐπορεύετο,πορεύομαι,imperfect,either middle or passive,indicative,third person,singular,Luke 4:30,αὐτὸς δὲ διελθὼν διὰ μέσου αὐτῶν,.
ἐπορεύετο,πορεύομαι,imperfect,either middle or passive,indicative,third person,singular,Luke 7:6,ὁ δὲ Ἰησοῦς,σὺν αὐτοῖς. ἤδη δὲ αὐτοῦ οὐ μακρὰν ἀπέχοντος ἀπὸ τῆς οἰκίας ἔπεμψεν  φίλους
ἐπορεύετο,πορεύομαι,imperfect,either middle or passive,indicative,third person,singular,Luke 19:28,Καὶ εἰπὼν ταῦτα,ἔμπροσθεν ἀναβαίνων  εἰς Ἱεροσόλυμα.
ἐπορεύετο,πορεύομαι,imperfect,either middle or passive,indicative,third person,singular,John 4:50,ζῇ. Ἐπίστευσεν ὁ ἄνθρωπος τῷ λόγῳ ὃν εἶπεν αὐτῷ ὁ Ἰησοῦς καὶ,.
ἐπορεύετο,πορεύομαι,imperfect,either middle or passive,indicative,third person,singular,Acts 8:39,"ὅτε δὲ ἀνέβησαν ἐκ τοῦ ὕδατος, πνεῦμα  κυρίου ἥρπασεν τὸν Φίλιππον καὶ οὐκ εἶδεν αὐτὸν οὐκέτι ὁ εὐνοῦχος,",γὰρ τὴν ὁδὸν αὐτοῦ χαίρων.
ἐπορευόμην,πορεύομαι,imperfect,either middle or passive,indicative,first person,singular,Acts 22:5,"τὸ πρεσβυτέριον, παρʼ ὧν καὶ ἐπιστολὰς δεξάμενος πρὸς τοὺς ἀδελφοὺς εἰς Δαμασκὸν",", ἄξων καὶ τοὺς ἐκεῖσε ὄντας δεδεμένους εἰς Ἰερουσαλὴμ ἵνα τιμωρηθῶσιν."
ἐπορευόμεθα,πορεύομαι,imperfect,either middle or passive,indicative,first person,plural,Acts 21:5,"ὅτε δὲ ἐγένετο ἡμᾶς ἐξαρτίσαι τὰς ἡμέρας, ἐξελθόντες","προπεμπόντων ἡμᾶς πάντων σὺν γυναιξὶν καὶ τέκνοις ἕως ἔξω τῆς πόλεως, καὶ θέντες"
πορεύωμαι,πορεύομαι,present,either middle or passive,subjunctive,first person,singular,Romans 15:24,ὡς ἂν,εἰς τὴν Σπανίαν· ἐλπίζω γὰρ διαπορευόμενος θεάσασθαι ὑμᾶς καὶ ὑφʼ ὑμῶν προπεμφθῆναι ἐκεῖ
πορεύωμαι,πορεύομαι,present,either middle or passive,subjunctive,first person,singular,1 Corinthians 16:6,"πρὸς ὑμᾶς δὲ τυχὸν παραμενῶ ἢ καὶ παραχειμάσω, ἵνα ὑμεῖς με προπέμψητε οὗ ἐὰν",.
πορεύσῃ,πορεύομαι,future,middle,indicative,second person,singular,Acts 25:12,"τότε ὁ Φῆστος συλλαλήσας μετὰ τοῦ συμβουλίου ἀπεκρίθη· Καίσαρα ἐπικέκλησαι, ἐπὶ Καίσαρα",.
πορεύσονται,πορεύομαι,future,middle,indicative,third person,plural,1 Corinthians 16:4,"ἐὰν δὲ ἄξιον ᾖ τοῦ κἀμὲ πορεύεσθαι, σὺν ἐμοὶ",.
πορεύσομαι,πορεύομαι,future,middle,indicative,first person,singular,Luke 15:18,ἀναστὰς,"πρὸς τὸν πατέρα μου καὶ ἐρῶ αὐτῷ· πάτερ, ἥμαρτον εἰς τὸν οὐρανὸν καὶ ἐνώπιόν σου,"
πορεύσομαι,πορεύομαι,future,middle,indicative,first person,singular,Acts 18:6,ἐπὶ τὴν κεφαλὴν ὑμῶν· καθαρὸς ἐγὼ ἀπὸ τοῦ νῦν εἰς τὰ ἔθνη,.
πορεύσεται,πορεύομαι,future,middle,indicative,third person,singular,Luke 11:5,Καὶ εἶπεν πρὸς αὐτούς· τίς ἐξ ὑμῶν ἕξει φίλον καὶ,"πρὸς αὐτὸν μεσονυκτίου καὶ εἴπῃ αὐτῷ· φίλε, χρῆσόν μοι τρεῖς ἄρτους,"
πορεύου,πορεύομαι,present,either middle or passive,imperative,second person,singular,Matthew 2:20,λέγων· ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ,εἰς γῆν Ἰσραήλ· τεθνήκασιν γὰρ οἱ ζητοῦντες τὴν ψυχὴν τοῦ παιδίου.
πορεύου,πορεύομαι,present,either middle or passive,imperative,second person,singular,Luke 5:24,"ἁμαρτίας — εἶπεν τῷ παραλελυμένῳ· σοὶ λέγω, ἔγειρε καὶ ἄρας τὸ κλινίδιόν σου",εἰς τὸν οἶκόν σου.
πορεύου,πορεύομαι,present,either middle or passive,imperative,second person,singular,Luke 7:50,εἶπεν δὲ πρὸς τὴν γυναῖκα·  ἡ πίστις σου σέσωκέν σε·,εἰς εἰρήνην.
πορεύου,πορεύομαι,present,either middle or passive,imperative,second person,singular,Luke 8:48,"ὁ δὲ εἶπεν αὐτῇ·  θυγάτηρ, ἡ πίστις σου σέσωκέν σε·",εἰς εἰρήνην.
πορεύου,πορεύομαι,present,either middle or passive,imperative,second person,singular,Luke 10:37,ὁ δὲ εἶπεν· ὁ ποιήσας τὸ ἔλεος μετʼ αὐτοῦ. εἶπεν δὲ αὐτῷ ὁ Ἰησοῦς·,καὶ σὺ  ποίει ὁμοίως.
πορεύου,πορεύομαι,present,either middle or passive,imperative,second person,singular,Luke 13:31,Ἐν αὐτῇ τῇ ὥρᾳ προσῆλθάν τινες Φαρισαῖοι λέγοντες αὐτῷ· ἔξελθε καὶ,"ἐντεῦθεν, ὅτι Ἡρῴδης θέλει σε ἀποκτεῖναι."
πορεύου,πορεύομαι,present,either middle or passive,imperative,second person,singular,Luke 17:19,καὶ εἶπεν αὐτῷ· ἀναστὰς,· ἡ πίστις σου σέσωκέν σε.
