Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Revelation 18:22,καὶ,κιθαρῳδῶν καὶ μουσικῶν καὶ αὐλητῶν καὶ σαλπιστῶν        οὐ μὴ ἀκουσθῇ ἐν σοὶ ἔτι
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Revelation 18:22,"καὶ πᾶς τεχνίτης πάσης τέχνης        οὐ μὴ εὑρεθῇ ἐν σοὶ ἔτι,      καὶ","μύλου        οὐ μὴ ἀκουσθῇ ἐν σοὶ ἔτι,"
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Revelation 18:23,"καὶ φῶς λύχνου        οὐ μὴ φάνῃ ἐν σοὶ ἔτι,      καὶ",νυμφίου καὶ  νύμφης        οὐ μὴ ἀκουσθῇ ἐν σοὶ ἔτι·      ὅτι οἱ ἔμποροί σου
φωνὴν,φωνή,—,—,—,—,feminine,accusative,singular,Revelation 19:1,Μετὰ ταῦτα ἤκουσα ὡς,μεγάλην ὄχλου πολλοῦ ἐν τῷ οὐρανῷ λεγόντων·      ἁλληλουϊά·      ἡ σωτηρία καὶ ἡ δόξα
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Revelation 19:5,Καὶ,ἀπὸ τοῦ θρόνου ἐξῆλθεν λέγουσα·       αἰνεῖτε τῷ θεῷ ἡμῶν        πάντες οἱ δοῦλοι αὐτοῦ
φωνὴν,φωνή,—,—,—,—,feminine,accusative,singular,Revelation 19:6,Καὶ ἤκουσα ὡς,ὄχλου πολλοῦ καὶ ὡς φωνὴν ὑδάτων πολλῶν καὶ ὡς φωνὴν βροντῶν ἰσχυρῶν λεγόντων
φωνὴν,φωνή,—,—,—,—,feminine,accusative,singular,Revelation 19:6,Καὶ ἤκουσα ὡς φωνὴν ὄχλου πολλοῦ καὶ ὡς,"ὑδάτων πολλῶν καὶ ὡς φωνὴν βροντῶν ἰσχυρῶν λεγόντων·      ἁλληλουϊά,      ὅτι ἐβασίλευσεν κύριος ὁ θεὸς [ἡμῶν] ὁ παντοκράτωρ."
φωνὴν,φωνή,—,—,—,—,feminine,accusative,singular,Revelation 19:6,Καὶ ἤκουσα ὡς φωνὴν ὄχλου πολλοῦ καὶ ὡς φωνὴν ὑδάτων πολλῶν καὶ ὡς,"βροντῶν ἰσχυρῶν λεγόντων·      ἁλληλουϊά,      ὅτι ἐβασίλευσεν κύριος ὁ θεὸς [ἡμῶν] ὁ παντοκράτωρ."
φωνῇ,φωνή,—,—,—,—,feminine,dative,singular,Revelation 19:17,Καὶ εἶδον ἕνα ἄγγελον ἑστῶτα ἐν τῷ ἡλίῳ καὶ ἔκραξεν [ἐν],μεγάλῃ λέγων πᾶσιν τοῖς ὀρνέοις τοῖς πετομένοις ἐν μεσουρανήματι·  Δεῦτε συνάχθητε εἰς τὸ
φωνῆς,φωνή,—,—,—,—,feminine,genitive,singular,Revelation 21:3,καὶ ἤκουσα,μεγάλης ἐκ τοῦ θρόνου λεγούσης·      ἰδοὺ ἡ σκηνὴ τοῦ θεοῦ μετὰ τῶν ἀνθρώπων
