Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
Ἐπίστευσεν,πιστεύω,aorist,active,indicative,third person,—,—,singular,John 4:50,"λέγει αὐτῷ ὁ Ἰησοῦς· πορεύου, ὁ υἱός σου ζῇ.",ὁ ἄνθρωπος τῷ λόγῳ ὃν εἶπεν αὐτῷ ὁ Ἰησοῦς καὶ ἐπορεύετο.
ἐπίστευσεν,πιστεύω,aorist,active,indicative,third person,—,—,singular,John 4:53,"ὥρᾳ ἐν ᾗ εἶπεν αὐτῷ ὁ Ἰησοῦς· ὁ υἱός σου ζῇ, καὶ",αὐτὸς καὶ ἡ οἰκία αὐτοῦ ὅλη.
πιστεύων,πιστεύω,present,active,participle,—,masculine,nominative,singular,John 5:24,Ἀμὴν ἀμὴν λέγω ὑμῖν ὅτι ὁ τὸν λόγον μου ἀκούων καὶ,"τῷ πέμψαντί με ἔχει ζωὴν αἰώνιον καὶ εἰς κρίσιν οὐκ ἔρχεται, ἀλλὰ μεταβέβηκεν"
πιστεύετε,πιστεύω,present,active,indicative,second person,—,—,plural,John 5:38,"καὶ τὸν λόγον αὐτοῦ οὐκ ἔχετε ἐν ὑμῖν μένοντα, ὅτι ὃν ἀπέστειλεν ἐκεῖνος, τούτῳ ὑμεῖς οὐ",.
πιστεῦσαι,πιστεύω,aorist,active,infinitive,—,—,—,—,John 5:44,πῶς δύνασθε ὑμεῖς,"δόξαν παρὰ ἀλλήλων λαμβάνοντες, καὶ τὴν δόξαν τὴν παρὰ τοῦ μόνου θεοῦ οὐ ζητεῖτε;"
ἐπιστεύετε,πιστεύω,imperfect,active,indicative,second person,—,—,plural,John 5:46,εἰ γὰρ,"Μωϋσεῖ, ἐπιστεύετε ἂν ἐμοί· περὶ γὰρ ἐμοῦ ἐκεῖνος ἔγραψεν."
ἐπιστεύετε,πιστεύω,imperfect,active,indicative,second person,—,—,plural,John 5:46,"εἰ γὰρ ἐπιστεύετε Μωϋσεῖ,",ἂν ἐμοί· περὶ γὰρ ἐμοῦ ἐκεῖνος ἔγραψεν.
πιστεύετε,πιστεύω,present,active,indicative,second person,—,—,plural,John 5:47,εἰ δὲ τοῖς ἐκείνου γράμμασιν οὐ,", πῶς τοῖς ἐμοῖς ῥήμασιν πιστεύσετε;"
πιστεύσετε,πιστεύω,future,active,indicative,second person,—,—,plural,John 5:47,"εἰ δὲ τοῖς ἐκείνου γράμμασιν οὐ πιστεύετε, πῶς τοῖς ἐμοῖς ῥήμασιν",;
πιστεύητε,πιστεύω,present,active,subjunctive,second person,—,—,plural,John 6:29,"ἀπεκρίθη [ὁ] Ἰησοῦς καὶ εἶπεν αὐτοῖς· τοῦτό ἐστιν τὸ ἔργον τοῦ θεοῦ, ἵνα",εἰς ὃν ἀπέστειλεν ἐκεῖνος.
πιστεύσωμέν,πιστεύω,aorist,active,subjunctive,first person,—,—,plural,John 6:30,"Εἶπον οὖν αὐτῷ· τί οὖν ποιεῖς σὺ σημεῖον, ἵνα ἴδωμεν καὶ",σοι; τί ἐργάζῃ;
πιστεύων,πιστεύω,present,active,participle,—,masculine,nominative,singular,John 6:35,"ἄρτος τῆς ζωῆς·  ὁ ἐρχόμενος πρὸς ἐμὲ οὐ μὴ πεινάσῃ , καὶ ὁ",εἰς ἐμὲ οὐ μὴ διψήσει πώποτε.
πιστεύετε,πιστεύω,present,active,indicative,second person,—,—,plural,John 6:36,Ἀλλʼ εἶπον ὑμῖν ὅτι καὶ ἑωράκατέ [με] καὶ οὐ,.
