Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
μεῖνον,μένω,aorist,active,imperative,second person,—,—,singular,Luke 24:29,καὶ παρεβιάσαντο αὐτὸν λέγοντες·,"μεθʼ ἡμῶν, ὅτι πρὸς ἑσπέραν ἐστὶν καὶ κέκλικεν ἤδη ἡ ἡμέρα. καὶ εἰσῆλθεν τοῦ μεῖναι σὺν αὐτοῖς."
μεῖναι,μένω,aorist,active,infinitive,—,—,—,—,Luke 24:29,ὅτι πρὸς ἑσπέραν ἐστὶν καὶ κέκλικεν ἤδη ἡ ἡμέρα. καὶ εἰσῆλθεν τοῦ,σὺν αὐτοῖς.
ἔμεινεν,μένω,aorist,active,indicative,third person,—,—,singular,John 1:32,Καὶ ἐμαρτύρησεν Ἰωάννης λέγων ὅτι τεθέαμαι τὸ πνεῦμα καταβαῖνον ὡς περιστερὰν ἐξ οὐρανοῦ καὶ,ἐπʼ αὐτόν.
μένον,μένω,present,active,participle,—,neuter,accusative,singular,John 1:33,ὕδατι ἐκεῖνός μοι εἶπεν· ἐφʼ ὃν ἂν ἴδῃς τὸ πνεῦμα καταβαῖνον καὶ,"ἐπʼ αὐτόν, οὗτός ἐστιν ὁ βαπτίζων ἐν πνεύματι ἁγίῳ."
μένεις,μένω,present,active,indicative,second person,—,—,singular,John 1:38,"τί ζητεῖτε; οἱ δὲ εἶπαν αὐτῷ· ῥαββί, ὃ λέγεται μεθερμηνευόμενον διδάσκαλε, ποῦ",;
μένει,μένω,present,active,indicative,third person,—,—,singular,John 1:39,λέγει αὐτοῖς· ἔρχεσθε καὶ ὄψεσθε. ἦλθαν οὖν καὶ εἶδαν ποῦ,καὶ παρʼ αὐτῷ ἔμειναν τὴν ἡμέραν ἐκείνην· ὥρα ἦν ὡς δεκάτη.
ἔμειναν,μένω,aorist,active,indicative,third person,—,—,plural,John 1:39,λέγει αὐτοῖς· ἔρχεσθε καὶ ὄψεσθε. ἦλθαν οὖν καὶ εἶδαν ποῦ μένει καὶ παρʼ αὐτῷ,τὴν ἡμέραν ἐκείνην· ὥρα ἦν ὡς δεκάτη.
ἔμειναν,μένω,aorist,active,indicative,third person,—,—,plural,John 2:12,μήτηρ αὐτοῦ καὶ οἱ ἀδελφοὶ [αὐτοῦ] καὶ οἱ μαθηταὶ αὐτοῦ καὶ ἐκεῖ,οὐ πολλὰς ἡμέρας.
μένει,μένω,present,active,indicative,third person,—,—,singular,John 3:36,"δὲ ἀπειθῶν τῷ υἱῷ οὐκ ὄψεται ζωήν, ἀλλʼ ἡ ὀργὴ τοῦ θεοῦ",ἐπʼ αὐτόν.
μεῖναι,μένω,aorist,active,infinitive,—,—,—,—,John 4:40,"ὡς οὖν ἦλθον πρὸς αὐτὸν οἱ Σαμαρῖται, ἠρώτων αὐτὸν",παρʼ αὐτοῖς· καὶ ἔμεινεν ἐκεῖ δύο ἡμέρας.
ἔμεινεν,μένω,aorist,active,indicative,third person,—,—,singular,John 4:40,"ὡς οὖν ἦλθον πρὸς αὐτὸν οἱ Σαμαρῖται, ἠρώτων αὐτὸν μεῖναι παρʼ αὐτοῖς· καὶ",ἐκεῖ δύο ἡμέρας.
μένοντα,μένω,present,active,participle,—,masculine,accusative,singular,John 5:38,καὶ τὸν λόγον αὐτοῦ οὐκ ἔχετε ἐν ὑμῖν,", ὅτι ὃν ἀπέστειλεν ἐκεῖνος, τούτῳ ὑμεῖς οὐ πιστεύετε."
μένουσαν,μένω,present,active,participle,—,feminine,accusative,singular,John 6:27,ἐργάζεσθε μὴ τὴν βρῶσιν τὴν ἀπολλυμένην ἀλλὰ τὴν βρῶσιν τὴν,"εἰς ζωὴν αἰώνιον, ἣν ὁ υἱὸς τοῦ ἀνθρώπου ὑμῖν δώσει· τοῦτον γὰρ ὁ πατὴρ ἐσφράγισεν ὁ θεός."
μένει,μένω,present,active,indicative,third person,—,—,singular,John 6:56,ὁ τρώγων μου τὴν σάρκα καὶ πίνων μου τὸ αἷμα ἐν ἐμοὶ,κἀγὼ ἐν αὐτῷ.
ἔμεινεν,μένω,aorist,active,indicative,third person,—,—,singular,John 7:9,ταῦτα δὲ εἰπὼν αὐτὸς,ἐν τῇ Γαλιλαίᾳ.
μείνητε,μένω,aorist,active,subjunctive,second person,—,—,plural,John 8:31,Ἔλεγεν οὖν ὁ Ἰησοῦς πρὸς τοὺς πεπιστευκότας αὐτῷ Ἰουδαίους· ἐὰν ὑμεῖς,"ἐν τῷ λόγῳ τῷ ἐμῷ, ἀληθῶς μαθηταί μού ἐστε"
μένει,μένω,present,active,indicative,third person,—,—,singular,John 8:35,ὁ δὲ δοῦλος οὐ,"ἐν τῇ οἰκίᾳ εἰς τὸν αἰῶνα, ὁ  υἱὸς μένει εἰς τὸν αἰῶνα."
μένει,μένω,present,active,indicative,third person,—,—,singular,John 8:35,"ὁ δὲ δοῦλος οὐ μένει ἐν τῇ οἰκίᾳ εἰς τὸν αἰῶνα, ὁ  υἱὸς",εἰς τὸν αἰῶνα.
μένει,μένω,present,active,indicative,third person,—,—,singular,John 9:41,"οὐκ ἂν εἴχετε ἁμαρτίαν· νῦν δὲ λέγετε ὅτι βλέπομεν, ἡ ἁμαρτία ὑμῶν",.
