Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,Hebrews 11:7,"τοῦ οἴκου αὐτοῦ διʼ ἧς κατέκρινεν τὸν κόσμον, καὶ τῆς κατὰ πίστιν",ἐγένετο κληρονόμος.
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,Hebrews 11:33,"οἳ διὰ πίστεως κατηγωνίσαντο βασιλείας, εἰργάσαντο",", ἐπέτυχον ἐπαγγελιῶν, ἔφραξαν στόματα λεόντων,"
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,Hebrews 12:11,"εἶναι ἀλλὰ λύπης, ὕστερον δὲ καρπὸν εἰρηνικὸν τοῖς διʼ αὐτῆς γεγυμνασμένοις ἀποδίδωσιν",.
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,James 1:20,ὀργὴ γὰρ ἀνδρὸς,θεοῦ οὐ κατεργάζεται.
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,James 2:23,"καὶ ἐπληρώθη ἡ γραφὴ ἡ λέγουσα· ἐπίστευσεν δὲ Ἀβραὰμ τῷ θεῷ, καὶ ἐλογίσθη αὐτῷ εἰς",καὶ φίλος θεοῦ ἐκλήθη.
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,James 3:18,καρπὸς δὲ,ἐν εἰρήνῃ σπείρεται τοῖς ποιοῦσιν εἰρήνην.
δικαιοσύνῃ,δικαιοσύνη,—,—,—,—,feminine,dative,singular,1 Peter 2:24,"ὃς τὰς ἁμαρτίας ἡμῶν αὐτὸς ἀνήνεγκεν        ἐν τῷ σώματι αὐτοῦ ἐπὶ τὸ ξύλον,        ἵνα ταῖς ἁμαρτίαις ἀπογενόμενοι        τῇ","ζήσωμεν,        οὗ τῷ μώλωπι  ἰάθητε."
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,1 Peter 3:14,ἀλλʼ εἰ καὶ πάσχοιτε διὰ,", μακάριοι. τὸν δὲ φόβον αὐτῶν μὴ φοβηθῆτε μηδὲ ταραχθῆτε,"
δικαιοσύνῃ,δικαιοσύνη,—,—,—,—,feminine,dative,singular,2 Peter 1:1,Συμεὼν Πέτρος δοῦλος καὶ ἀπόστολος Ἰησοῦ Χριστοῦ τοῖς ἰσότιμον ἡμῖν λαχοῦσιν πίστιν ἐν,"τοῦ θεοῦ ἡμῶν καὶ σωτῆρος Ἰησοῦ Χριστοῦ,"
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,2 Peter 2:5,καὶ ἀρχαίου κόσμου οὐκ ἐφείσατο ἀλλʼ ὄγδοον Νῶε,κήρυκα ἐφύλαξεν κατακλυσμὸν κόσμῳ ἀσεβῶν ἐπάξας
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,2 Peter 2:21,κρεῖττον γὰρ ἦν αὐτοῖς μὴ ἐπεγνωκέναι τὴν ὁδὸν τῆς,ἢ ἐπιγνοῦσιν ὑποστρέψαι ἐκ τῆς παραδοθείσης αὐτοῖς ἁγίας ἐντολῆς.
δικαιοσύνη,δικαιοσύνη,—,—,—,—,feminine,nominative,singular,2 Peter 3:13,καινοὺς δὲ οὐρανοὺς καὶ γῆν καινὴν κατὰ τὸ ἐπάγγελμα αὐτοῦ προσδοκῶμεν ἐν οἷς,κατοικεῖ.
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,1 John 2:29,"ἐὰν εἰδῆτε ὅτι δίκαιός ἐστιν, γινώσκετε ὅτι καὶ πᾶς ὁ ποιῶν τὴν",ἐξ αὐτοῦ γεγέννηται.
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,1 John 3:7,"Παιδία, μηδεὶς πλανάτω ὑμᾶς· ὁ ποιῶν τὴν","δίκαιός ἐστιν, καθὼς ἐκεῖνος δίκαιός ἐστιν·"
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,1 John 3:10,ἐν τούτῳ φανερά ἐστιν τὰ τέκνα τοῦ θεοῦ καὶ τὰ τέκνα τοῦ διαβόλου· πᾶς ὁ μὴ ποιῶν,οὐκ ἔστιν ἐκ τοῦ θεοῦ καὶ ὁ μὴ ἀγαπῶν τὸν ἀδελφὸν αὐτοῦ.
δικαιοσύνῃ,δικαιοσύνη,—,—,—,—,feminine,dative,singular,Revelation 19:11,"λευκὸς καὶ ὁ καθήμενος ἐπʼ αὐτὸν [καλούμενος] πιστὸς καὶ ἀληθινός, καὶ ἐν",κρίνει καὶ πολεμεῖ.
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,Revelation 22:11,"ὁ ἀδικῶν ἀδικησάτω ἔτι καὶ ὁ ῥυπαρὸς ῥυπανθήτω ἔτι, καὶ ὁ δίκαιος",ποιησάτω ἔτι καὶ ὁ ἅγιος ἁγιασθήτω ἔτι.
