Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,Titus 1:1,"Παῦλος δοῦλος θεοῦ, ἀπόστολος δὲ Ἰησοῦ Χριστοῦ κατὰ πίστιν ἐκλεκτῶν θεοῦ καὶ ἐπίγνωσιν",τῆς κατʼ εὐσέβειαν
ἀλήθειαν,ἀλήθεια,—,—,—,—,feminine,accusative,singular,Titus 1:14,μὴ προσέχοντες Ἰουδαϊκοῖς μύθοις καὶ ἐντολαῖς ἀνθρώπων ἀποστρεφομένων τὴν,.
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,Hebrews 10:26,Ἑκουσίως γὰρ ἁμαρτανόντων ἡμῶν μετὰ τὸ λαβεῖν τὴν ἐπίγνωσιν τῆς,", οὐκέτι περὶ ἁμαρτιῶν ἀπολείπεται θυσία,"
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,James 1:18,βουληθεὶς ἀπεκύησεν ἡμᾶς λόγῳ,εἰς τὸ εἶναι ἡμᾶς ἀπαρχήν τινα τῶν αὐτοῦ κτισμάτων.
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,James 3:14,"εἰ δὲ  ζῆλον πικρὸν ἔχετε καὶ ἐριθείαν ἐν τῇ καρδίᾳ ὑμῶν, μὴ κατακαυχᾶσθε καὶ ψεύδεσθε κατὰ τῆς",.
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,James 5:19,"Ἀδελφοί μου, ἐάν τις ἐν ὑμῖν πλανηθῇ ἀπὸ τῆς","καὶ ἐπιστρέψῃ τις αὐτόν,"
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,1 Peter 1:22,Τὰς ψυχὰς ὑμῶν ἡγνικότες ἐν τῇ ὑπακοῇ τῆς,εἰς φιλαδελφίαν ἀνυπόκριτον ἐκ καθαρᾶς καρδίας ἀλλήλους ἀγαπήσατε ἐκτενῶς
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,2 Peter 1:12,Διὸ μελλήσω ἀεὶ ὑμᾶς ὑπομιμνῄσκειν περὶ τούτων καίπερ εἰδότας καὶ ἐστηριγμένους ἐν τῇ παρούσῃ,.
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,2 Peter 2:2,καὶ πολλοὶ ἐξακολουθήσουσιν αὐτῶν ταῖς ἀσελγείαις διʼ οὓς ἡ ὁδὸς τῆς,"βλασφημηθήσεται,"
ἀλήθειαν,ἀλήθεια,—,—,—,—,feminine,accusative,singular,1 John 1:6,"ἐὰν εἴπωμεν ὅτι κοινωνίαν ἔχομεν μετʼ αὐτοῦ καὶ ἐν τῷ σκότει περιπατῶμεν, ψευδόμεθα καὶ οὐ ποιοῦμεν τὴν",·
