Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
εἶχον,ἔχω,imperfect,active,indicative,third person,plural,Mark 8:7,καὶ,ἰχθύδια ὀλίγα· καὶ εὐλογήσας αὐτὰ εἶπεν καὶ ταῦτα παρατιθέναι.
εἶχον,ἔχω,imperfect,active,indicative,third person,plural,Mark 8:14,Καὶ ἐπελάθοντο λαβεῖν ἄρτους καὶ εἰ μὴ ἕνα ἄρτον οὐκ,μεθʼ ἑαυτῶν ἐν τῷ πλοίῳ.
εἶχον,ἔχω,imperfect,active,indicative,third person,plural,Mark 11:32,ἀλλʼ εἴπωμεν· ἐξ ἀνθρώπων; — ἐφοβοῦντο τὸν ὄχλον· ἅπαντες γὰρ,τὸν Ἰωάννην ὄντως ὅτι προφήτης ἦν.
εἶχον,ἔχω,imperfect,active,indicative,third person,plural,Luke 4:40,Δύνοντος δὲ τοῦ ἡλίου ἅπαντες ὅσοι,ἀσθενοῦντας νόσοις ποικίλαις ἤγαγον αὐτοὺς πρὸς αὐτόν· ὁ δὲ ἑνὶ ἑκάστῳ αὐτῶν τὰς χεῖρας ἐπιτιθεὶς ἐθεράπευεν αὐτούς.
εἶχον,ἔχω,imperfect,active,indicative,first person,singular,Luke 19:20,"καὶ ὁ ἕτερος ἦλθεν λέγων· κύριε, ἰδοὺ ἡ μνᾶ σου ἣν",ἀποκειμένην ἐν σουδαρίῳ·
εἶχον,ἔχω,imperfect,active,indicative,first person,singular,John 17:5,"καὶ νῦν δόξασόν με σύ, πάτερ, παρὰ σεαυτῷ τῇ δόξῃ ᾗ",πρὸ τοῦ τὸν κόσμον εἶναι παρὰ σοί.
εἶχον,ἔχω,imperfect,active,indicative,third person,plural,Acts 2:44,πάντες δὲ οἱ πιστεύοντες ἦσαν ἐπὶ τὸ αὐτὸ καὶ,ἅπαντα κοινὰ
εἶχον,ἔχω,imperfect,active,indicative,third person,plural,Acts 4:14,τόν τε ἄνθρωπον βλέποντες σὺν αὐτοῖς ἑστῶτα τὸν τεθεραπευμένον οὐδὲν,ἀντειπεῖν.
εἶχον,ἔχω,imperfect,active,indicative,third person,plural,Acts 13:5,καὶ γενόμενοι ἐν Σαλαμῖνι κατήγγελλον τὸν λόγον τοῦ θεοῦ ἐν ταῖς συναγωγαῖς τῶν Ἰουδαίων.,δὲ καὶ Ἰωάννην ὑπηρέτην.
εἶχον,ἔχω,imperfect,active,indicative,third person,plural,Acts 25:19,ζητήματα δέ τινα περὶ τῆς ἰδίας δεισιδαιμονίας,πρὸς αὐτὸν καὶ περί τινος Ἰησοῦ τεθνηκότος ὃν ἔφασκεν ὁ Παῦλος ζῆν.
εἶχον,ἔχω,imperfect,active,indicative,first person,singular,3 John 13,Πολλὰ,γράψαι σοι ἀλλʼ οὐ θέλω διὰ μέλανος καὶ καλάμου σοι γράφειν·
εἶχον,ἔχω,imperfect,active,indicative,third person,plural,Revelation 6:9,τῶν ἐσφαγμένων διὰ τὸν λόγον τοῦ θεοῦ καὶ διὰ τὴν μαρτυρίαν  ἣν,.
εἶχον,ἔχω,imperfect,active,indicative,third person,plural,Revelation 9:8,καὶ,"τρίχας ὡς τρίχας γυναικῶν, καὶ οἱ ὀδόντες αὐτῶν ὡς λεόντων ἦσαν,"
